idciudadvotacion,NombreCiudad,idProvincia,NombreProvincia,idsexo,Des_sexo,edad,Cantidad
1,Chuquisaca,1,Oropeza,1,Masculino,23,105
1,Chuquisaca,1,Oropeza,1,Masculino,26,193
1,Chuquisaca,1,Oropeza,1,Masculino,29,151
1,Chuquisaca,1,Oropeza,1,Masculino,52,26
1,Chuquisaca,1,Oropeza,1,Masculino,55,18
1,Chuquisaca,1,Oropeza,1,Masculino,58,21
1,Chuquisaca,1,Oropeza,1,Masculino,81,15
1,Chuquisaca,1,Oropeza,1,Masculino,84,14
1,Chuquisaca,1,Oropeza,1,Masculino,87,9
1,Chuquisaca,1,Oropeza,1,Masculino,90,20
1,Chuquisaca,1,Oropeza,2,Femenino,22,33
1,Chuquisaca,1,Oropeza,2,Femenino,25,152
1,Chuquisaca,1,Oropeza,2,Femenino,28,153
1,Chuquisaca,1,Oropeza,2,Femenino,51,22
1,Chuquisaca,1,Oropeza,2,Femenino,54,17
1,Chuquisaca,1,Oropeza,2,Femenino,57,14
1,Chuquisaca,1,Oropeza,2,Femenino,80,34
1,Chuquisaca,1,Oropeza,2,Femenino,83,37
1,Chuquisaca,1,Oropeza,2,Femenino,86,27
1,Chuquisaca,1,Oropeza,2,Femenino,89,47
1,Chuquisaca,2,Azurduy,1,Masculino,23,4
1,Chuquisaca,2,Azurduy,1,Masculino,46,3
1,Chuquisaca,2,Azurduy,1,Masculino,49,5
1,Chuquisaca,2,Azurduy,1,Masculino,52,4
1,Chuquisaca,2,Azurduy,1,Masculino,55,4
1,Chuquisaca,2,Azurduy,1,Masculino,75,1
1,Chuquisaca,2,Azurduy,1,Masculino,78,2
1,Chuquisaca,2,Azurduy,1,Masculino,81,4
1,Chuquisaca,2,Azurduy,1,Masculino,84,2
1,Chuquisaca,2,Azurduy,2,Femenino,22,1
1,Chuquisaca,2,Azurduy,2,Femenino,45,2
1,Chuquisaca,2,Azurduy,2,Femenino,48,4
1,Chuquisaca,2,Azurduy,2,Femenino,51,2
1,Chuquisaca,2,Azurduy,2,Femenino,54,1
1,Chuquisaca,2,Azurduy,2,Femenino,74,1
1,Chuquisaca,2,Azurduy,2,Femenino,83,5
1,Chuquisaca,3,Zudáñez,1,Masculino,35,6
1,Chuquisaca,3,Zudáñez,1,Masculino,38,4
1,Chuquisaca,3,Zudáñez,1,Masculino,41,1
1,Chuquisaca,3,Zudáñez,1,Masculino,44,3
1,Chuquisaca,3,Zudáñez,1,Masculino,70,1
1,Chuquisaca,3,Zudáñez,1,Masculino,73,1
1,Chuquisaca,3,Zudáñez,2,Femenino,34,2
1,Chuquisaca,3,Zudáñez,2,Femenino,37,2
1,Chuquisaca,3,Zudáñez,2,Femenino,40,4
1,Chuquisaca,3,Zudáñez,2,Femenino,43,2
1,Chuquisaca,3,Zudáñez,2,Femenino,95,2
1,Chuquisaca,4,Tomina,1,Masculino,21,1
1,Chuquisaca,4,Tomina,1,Masculino,24,11
1,Chuquisaca,4,Tomina,1,Masculino,27,13
1,Chuquisaca,4,Tomina,1,Masculino,30,7
1,Chuquisaca,4,Tomina,1,Masculino,50,3
1,Chuquisaca,4,Tomina,1,Masculino,53,2
1,Chuquisaca,4,Tomina,1,Masculino,56,2
1,Chuquisaca,4,Tomina,1,Masculino,82,2
1,Chuquisaca,4,Tomina,1,Masculino,85,1
1,Chuquisaca,4,Tomina,1,Masculino,88,1
1,Chuquisaca,4,Tomina,2,Femenino,23,1
1,Chuquisaca,4,Tomina,2,Femenino,26,5
1,Chuquisaca,4,Tomina,2,Femenino,29,4
1,Chuquisaca,4,Tomina,2,Femenino,49,2
1,Chuquisaca,4,Tomina,2,Femenino,52,5
1,Chuquisaca,4,Tomina,2,Femenino,55,6
1,Chuquisaca,4,Tomina,2,Femenino,58,4
1,Chuquisaca,4,Tomina,2,Femenino,81,1
1,Chuquisaca,4,Tomina,2,Femenino,84,2
1,Chuquisaca,4,Tomina,2,Femenino,87,1
1,Chuquisaca,4,Tomina,2,Femenino,90,2
1,Chuquisaca,5,Hernando Siles,1,Masculino,23,14
1,Chuquisaca,5,Hernando Siles,1,Masculino,26,22
1,Chuquisaca,5,Hernando Siles,1,Masculino,49,8
1,Chuquisaca,5,Hernando Siles,1,Masculino,52,6
1,Chuquisaca,5,Hernando Siles,1,Masculino,55,5
1,Chuquisaca,5,Hernando Siles,1,Masculino,78,2
1,Chuquisaca,5,Hernando Siles,1,Masculino,81,5
1,Chuquisaca,5,Hernando Siles,1,Masculino,84,2
1,Chuquisaca,5,Hernando Siles,1,Masculino,87,1
1,Chuquisaca,5,Hernando Siles,2,Femenino,22,2
1,Chuquisaca,5,Hernando Siles,2,Femenino,25,11
1,Chuquisaca,5,Hernando Siles,2,Femenino,48,4
1,Chuquisaca,5,Hernando Siles,2,Femenino,51,1
1,Chuquisaca,5,Hernando Siles,2,Femenino,54,5
1,Chuquisaca,5,Hernando Siles,2,Femenino,77,1
1,Chuquisaca,5,Hernando Siles,2,Femenino,80,4
1,Chuquisaca,5,Hernando Siles,2,Femenino,83,3
1,Chuquisaca,1,Oropeza,1,Masculino,28,191
1,Chuquisaca,1,Oropeza,1,Masculino,31,142
1,Chuquisaca,1,Oropeza,1,Masculino,34,105
1,Chuquisaca,1,Oropeza,1,Masculino,37,51
1,Chuquisaca,1,Oropeza,1,Masculino,60,2
1,Chuquisaca,1,Oropeza,1,Masculino,89,21
1,Chuquisaca,1,Oropeza,1,Masculino,92,9
1,Chuquisaca,1,Oropeza,1,Masculino,95,7
1,Chuquisaca,1,Oropeza,1,Masculino,98,2
1,Chuquisaca,1,Oropeza,2,Femenino,27,126
1,Chuquisaca,1,Oropeza,2,Femenino,30,163
1,Chuquisaca,1,Oropeza,2,Femenino,33,100
1,Chuquisaca,1,Oropeza,2,Femenino,36,67
1,Chuquisaca,1,Oropeza,2,Femenino,59,19
