iddata;idsexo;Des_sexo;idciudadvotacion;NombreCiudad;idProvincia;NombreProvincia;idmun;NombreMunicipio;edad
2210566;2;Femenino;2;La Paz;3;Pacajes;1;Corocoro;28
1779032;2;Femenino;2;La Paz;6;Larecaja;2;Guanay;75
9450173;2;Femenino;2;La Paz;10;Inquisivi;3;Cajuata;24
1076171;2;Femenino;2;La Paz;6;Larecaja;1;Sorata;72
1081973;2;Femenino;2;La Paz;6;Larecaja;1;Sorata;53
2875971;1;Masculino;2;La Paz;6;Larecaja;1;Sorata;41
11922227;2;Femenino;2;La Paz;6;Larecaja;1;Sorata;72
1796197;1;Masculino;2;La Paz;6;Larecaja;1;Sorata;42
11973385;1;Masculino;2;La Paz;6;Larecaja;1;Sorata;31
1126626;1;Masculino;2;La Paz;7;Franz Tamayo;1;Apolo;31
1145963;2;Femenino;2;La Paz;7;Franz Tamayo;1;Apolo;57
8997866;1;Masculino;2;La Paz;8;Ingavi;1;Viacha;59
681473;1;Masculino;2;La Paz;9;Loayza;5;Cairoma;91
1774151;2;Femenino;2;La Paz;8;Ingavi;1;Viacha;38
1779399;2;Femenino;2;La Paz;8;Ingavi;1;Viacha;41
1865135;1;Masculino;2;La Paz;8;Ingavi;1;Viacha;43
1938972;2;Femenino;2;La Paz;8;Ingavi;1;Viacha;39
2255603;1;Masculino;2;La Paz;8;Ingavi;1;Viacha;24
2260251;1;Masculino;2;La Paz;8;Ingavi;1;Viacha;25
2304854;2;Femenino;2;La Paz;8;Ingavi;1;Viacha;24
2305690;2;Femenino;2;La Paz;8;Ingavi;1;Viacha;25
2305708;1;Masculino;2;La Paz;8;Ingavi;1;Viacha;24
2307598;2;Femenino;2;La Paz;8;Ingavi;1;Viacha;26
2557932;1;Masculino;2;La Paz;8;Ingavi;1;Viacha;39
2626837;1;Masculino;2;La Paz;8;Ingavi;1;Viacha;38
2681204;2;Femenino;2;La Paz;8;Ingavi;1;Viacha;31
2873549;1;Masculino;2;La Paz;8;Ingavi;1;Viacha;27
2909563;1;Masculino;2;La Paz;8;Ingavi;1;Viacha;25
2909631;1;Masculino;2;La Paz;8;Ingavi;1;Viacha;25
8398872;1;Masculino;2;La Paz;8;Ingavi;1;Viacha;26
8819224;1;Masculino;2;La Paz;8;Ingavi;1;Viacha;22
9426055;1;Masculino;2;La Paz;8;Ingavi;1;Viacha;27
9444222;1;Masculino;2;La Paz;8;Ingavi;1;Viacha;23
10535210;2;Femenino;2;La Paz;8;Ingavi;1;Viacha;31
10616970;2;Femenino;2;La Paz;8;Ingavi;1;Viacha;46
10916775;1;Masculino;2;La Paz;8;Ingavi;1;Viacha;54
827106;2;Femenino;2;La Paz;6;Larecaja;3;Tacacoma;79
827091;2;Femenino;2;La Paz;6;Larecaja;6;Tipuani;92
1439168;1;Masculino;2;La Paz;6;Larecaja;6;Tipuani;46
1773901;1;Masculino;2;La Paz;6;Larecaja;6;Tipuani;52
1783812;2;Femenino;2;La Paz;6;Larecaja;6;Tipuani;54
1798819;1;Masculino;2;La Paz;6;Larecaja;6;Tipuani;58
1826528;1;Masculino;2;La Paz;6;Larecaja;6;Tipuani;52
2089080;2;Femenino;2;La Paz;6;Larecaja;6;Tipuani;28
2117177;1;Masculino;2;La Paz;6;Larecaja;6;Tipuani;27
2132600;1;Masculino;2;La Paz;6;Larecaja;6;Tipuani;44
2146222;2;Femenino;2;La Paz;6;Larecaja;6;Tipuani;26
2878424;2;Femenino;2;La Paz;2;Omasuyos;6;Huatajata;48
2254973;1;Masculino;2;La Paz;3;Pacajes;3;Calacoto;24
1803033;1;Masculino;2;La Paz;6;Larecaja;1;Sorata;49
1056253;2;Femenino;2;La Paz;7;Franz Tamayo;1;Apolo;91
682583;1;Masculino;2;La Paz;9;Loayza;5;Cairoma;85
2064360;1;Masculino;2;La Paz;2;Omasuyos;2;Villa Ancoraimes;42
2881096;1;Masculino;2;La Paz;3;Pacajes;1;Corocoro;35
2199110;1;Masculino;2;La Paz;3;Pacajes;1;Corocoro;25
1862279;1;Masculino;2;La Paz;6;Larecaja;2;Guanay;35
1149713;2;Femenino;2;La Paz;10;Inquisivi;3;Cajuata;79
1150520;2;Femenino;2;La Paz;10;Inquisivi;3;Cajuata;59
1150624;1;Masculino;2;La Paz;10;Inquisivi;3;Cajuata;78
2086327;1;Masculino;2;La Paz;10;Inquisivi;3;Cajuata;32
1628439;2;Femenino;2;La Paz;2;Omasuyos;2;Villa Ancoraimes;100
10183644;1;Masculino;2;La Paz;2;Omasuyos;2;Villa Ancoraimes;25
821034;2;Femenino;2;La Paz;6;Larecaja;3;Tacacoma;39
2226865;1;Masculino;2;La Paz;6;Larecaja;3;Tacacoma;28
2341752;2;Femenino;2;La Paz;6;Larecaja;3;Tacacoma;29
2664079;1;Masculino;2;La Paz;6;Larecaja;3;Tacacoma;42
122161;1;Masculino;2;La Paz;6;Larecaja;6;Tipuani;25
