idciudadvotacion,NombreCiudad,idpersona,idsexo,Des_sexo,edad
1,Chuquisaca,256160,2,Femenino,75
1,Chuquisaca,258145,1,Masculino,73
1,Chuquisaca,507866,2,Femenino,25
1,Chuquisaca,9159174,2,Femenino,40
1,Chuquisaca,308821,1,Masculino,85
1,Chuquisaca,330645,2,Femenino,93
1,Chuquisaca,391695,2,Femenino,94
1,Chuquisaca,418571,2,Femenino,33
1,Chuquisaca,440496,2,Femenino,54
1,Chuquisaca,550263,2,Femenino,58
1,Chuquisaca,559087,2,Femenino,36
1,Chuquisaca,565925,2,Femenino,49
1,Chuquisaca,153744,2,Femenino,36
1,Chuquisaca,352888,1,Masculino,41
1,Chuquisaca,354309,2,Femenino,45
1,Chuquisaca,565557,1,Masculino,45
1,Chuquisaca,11962053,2,Femenino,42
1,Chuquisaca,420775,1,Masculino,52
1,Chuquisaca,532365,2,Femenino,59
1,Chuquisaca,591308,2,Femenino,59
1,Chuquisaca,5763602,1,Masculino,74
1,Chuquisaca,412387,1,Masculino,71
1,Chuquisaca,416114,1,Masculino,76
1,Chuquisaca,418653,1,Masculino,33
1,Chuquisaca,426691,1,Masculino,46
1,Chuquisaca,546670,2,Femenino,49
1,Chuquisaca,565990,1,Masculino,43
1,Chuquisaca,307982,2,Femenino,32
1,Chuquisaca,321636,1,Masculino,45
