idciudadvotacion,NombreCiudad,idProvincia,NombreProvincia,idmun,NombreMunicipio,idpersona,idsexo,Des_sexo,edad
2,La Paz,6,Larecaja,2,Guanay,1809222,2,Femenino,58
2,La Paz,6,Larecaja,2,Guanay,2088790,1,Masculino,29
2,La Paz,6,Larecaja,2,Guanay,2183014,2,Femenino,26
2,La Paz,6,Larecaja,2,Guanay,2215570,1,Masculino,29
2,La Paz,6,Larecaja,2,Guanay,2234890,1,Masculino,26
2,La Paz,6,Larecaja,2,Guanay,2245252,2,Femenino,52
2,La Paz,6,Larecaja,2,Guanay,2248275,1,Masculino,35
2,La Paz,6,Larecaja,2,Guanay,2303476,1,Masculino,35
2,La Paz,6,Larecaja,2,Guanay,2373287,2,Femenino,50
2,La Paz,6,Larecaja,2,Guanay,2857045,1,Masculino,25
2,La Paz,6,Larecaja,2,Guanay,8770117,1,Masculino,37
2,La Paz,6,Larecaja,2,Guanay,12007721,1,Masculino,39
2,La Paz,6,Larecaja,8,Teoponte,2306320,2,Femenino,26
2,La Paz,2,Omasuyos,1,Achacachi,697625,1,Masculino,103
2,La Paz,2,Omasuyos,1,Achacachi,11230793,1,Masculino,23
2,La Paz,5,Muñecas,1,Chuma,1616192,1,Masculino,58
2,La Paz,5,Muñecas,1,Chuma,1789751,1,Masculino,71
2,La Paz,6,Larecaja,6,Tipuani,172102,2,Femenino,34
2,La Paz,6,Larecaja,6,Tipuani,797801,1,Masculino,45
2,La Paz,6,Larecaja,6,Tipuani,809067,1,Masculino,49
2,La Paz,6,Larecaja,6,Tipuani,2242795,1,Masculino,25
2,La Paz,6,Larecaja,6,Tipuani,2249845,2,Femenino,44
2,La Paz,6,Larecaja,6,Tipuani,2877769,1,Masculino,29
2,La Paz,6,Larecaja,6,Tipuani,10182870,1,Masculino,31
2,La Paz,6,Larecaja,6,Tipuani,2256048,1,Masculino,27
2,La Paz,2,Omasuyos,2,Villa Ancoraimes,10930722,2,Femenino,49
2,La Paz,7,Franz Tamayo,1,Apolo,1796035,1,Masculino,31
2,La Paz,7,Franz Tamayo,1,Apolo,2301270,1,Masculino,27
2,La Paz,7,Franz Tamayo,1,Apolo,10869337,2,Femenino,29
2,La Paz,9,Loayza,2,Sapahaqui,2072559,2,Femenino,27
2,La Paz,9,Loayza,2,Sapahaqui,2266093,2,Femenino,25
2,La Paz,9,Loayza,2,Sapahaqui,2833696,2,Femenino,40
2,La Paz,9,Loayza,2,Sapahaqui,9780149,2,Femenino,25
2,La Paz,11,Sud Yungas,4,Palos Blancos,186193,2,Femenino,25
2,La Paz,11,Sud Yungas,4,Palos Blancos,2167219,2,Femenino,28
2,La Paz,11,Sud Yungas,4,Palos Blancos,2180455,1,Masculino,25
2,La Paz,11,Sud Yungas,4,Palos Blancos,2183650,2,Femenino,25
2,La Paz,11,Sud Yungas,4,Palos Blancos,2192508,2,Femenino,25
2,La Paz,11,Sud Yungas,4,Palos Blancos,2849140,1,Masculino,44
2,La Paz,11,Sud Yungas,4,Palos Blancos,8826639,1,Masculino,21
