idciudad,Ciudad,idsexo,sexo,edad,Cantidad
4,Oruro,2,Femenino,94,11
7,Santa Cruz,1,Masculino,80,93
4,Oruro,2,Femenino,88,33
7,Santa Cruz,2,Femenino,21,75
6,Tarija,1,Masculino,26,370
3,Cochabamba,2,Femenino,103,1
7,Santa Cruz,1,Masculino,54,445
5,Potosí,1,Masculino,22,52
4,Oruro,2,Femenino,91,23
2,La Paz,2,Femenino,116,1
7,Santa Cruz,1,Masculino,57,350
6,Tarija,1,Masculino,23,220
6,Tarija,1,Masculino,32,306
5,Potosí,1,Masculino,25,353
7,Santa Cruz,1,Masculino,60,3
7,Santa Cruz,2,Femenino,27,1180
6,Tarija,1,Masculino,29,339
8,Beni,1,Masculino,29,285
4,Oruro,2,Femenino,97,7
5,Potosí,1,Masculino,28,280
6,Tarija,1,Masculino,55,96
8,Beni,1,Masculino,26,328
7,Santa Cruz,1,Masculino,83,68
5,Potosí,1,Masculino,31,224
7,Santa Cruz,2,Femenino,50,391
7,Santa Cruz,1,Masculino,86,34
7,Santa Cruz,2,Femenino,24,1108
9,Pando,1,Masculino,29,90
9,Pando,2,Femenino,92,2
7,Santa Cruz,1,Masculino,89,55
1,Chuquisaca,2,Femenino,39,76
8,Beni,2,Femenino,95,4
7,Santa Cruz,2,Femenino,59,228
2,La Paz,2,Femenino,58,175
5,Potosí,2,Femenino,91,105
7,Santa Cruz,2,Femenino,79,57
6,Tarija,1,Masculino,61,1
8,Beni,2,Femenino,89,20
7,Santa Cruz,2,Femenino,53,329
7,Santa Cruz,1,Masculino,112,1
1,Chuquisaca,1,Masculino,72,27
6,Tarija,1,Masculino,84,48
8,Beni,2,Femenino,92,13
2,La Paz,2,Femenino,81,142
6,Tarija,2,Femenino,25,259
1,Chuquisaca,1,Masculino,75,35
7,Santa Cruz,1,Masculino,115,1
6,Tarija,1,Masculino,58,84
6,Tarija,2,Femenino,22,26
7,Santa Cruz,2,Femenino,56,266
9,Pando,2,Femenino,89,5
2,La Paz,2,Femenino,55,186
6,Tarija,1,Masculino,90,41
1,Chuquisaca,1,Masculino,46,72
6,Tarija,2,Femenino,31,216
3,Cochabamba,1,Masculino,40,376
9,Pando,2,Femenino,95,3
2,La Paz,2,Femenino,110,1
6,Tarija,2,Femenino,28,202
2,La Paz,2,Femenino,84,153
3,Cochabamba,1,Masculino,37,498
7,Santa Cruz,2,Femenino,82,109
1,Chuquisaca,1,Masculino,43,96
4,Oruro,1,Masculino,28,165
2,La Paz,2,Femenino,87,143
7,Santa Cruz,2,Femenino,88,79
6,Tarija,2,Femenino,54,60
6,Tarija,1,Masculino,87,31
1,Chuquisaca,1,Masculino,40,96
7,Santa Cruz,2,Femenino,85,76
5,Potosí,2,Femenino,59,49
6,Tarija,1,Masculino,93,21
2,La Paz,1,Masculino,56,180
4,Oruro,1,Masculino,31,182
9,Pando,1,Masculino,90,1
4,Oruro,1,Masculino,34,129
1,Chuquisaca,2,Femenino,71,24
8,Beni,2,Femenino,54,56
9,Pando,2,Femenino,31,33
3,Cochabamba,1,Masculino,43,318
8,Beni,1,Masculino,96,2
2,La Paz,1,Masculino,53,222
9,Pando,2,Femenino,34,23
8,Beni,1,Masculino,90,13
5,Potosí,1,Masculino,92,38
7,Santa Cruz,2,Femenino,111,1
5,Potosí,1,Masculino,89,77
8,Beni,2,Femenino,57,45
8,Beni,1,Masculino,93,4
1,Chuquisaca,2,Femenino,74,32
5,Potosí,2,Femenino,56,74
4,Oruro,1,Masculino,37,90
7,Santa Cruz,2,Femenino,114,1
6,Tarija,2,Femenino,57,61
9,Pando,2,Femenino,37,32
5,Potosí,2,Femenino,53,74
8,Beni,2,Femenino,34,144
2,La Paz,2,Femenino,23,368
2,La Paz,1,Masculino,59,170
6,Tarija,2,Femenino,83,75
2,La Paz,2,Femenino,29,592
2,La Paz,1,Masculino,88,70
6,Tarija,2,Femenino,112,1
1,Chuquisaca,1,Masculino,98,3
2,La Paz,1,Masculino,85,75
3,Cochabamba,1,Masculino,75,46
6,Tarija,2,Femenino,92,47
8,Beni,2,Femenino,86,15
1,Chuquisaca,2,Femenino,42,94
2,La Paz,2,Femenino,49,209
3,Cochabamba,1,Masculino,72,53
9,Pando,1,Masculino,99,1
3,Cochabamba,2,Femenino,36,400
2,La Paz,1,Masculino,82,85
1,Chuquisaca,1,Masculino,78,31
5,Potosí,2,Femenino,88,120
4,Oruro,2,Femenino,27,93
5,Potosí,2,Femenino,82,101
1,Chuquisaca,2,Femenino,45,52
2,La Paz,2,Femenino,52,195
6,Tarija,2,Femenino,89,83
3,Cochabamba,2,Femenino,39,337
6,Tarija,2,Femenino,86,55
5,Potosí,2,Femenino,89,158
1,Chuquisaca,1,Masculino,34,154
3,Cochabamba,1,Masculino,76,57
9,Pando,1,Masculino,103,1
5,Potosí,2,Femenino,86,78
6,Tarija,1,Masculino,43,175
4,Oruro,2,Femenino,31,126
9,Pando,1,Masculino,100,2
6,Tarija,1,Masculino,46,151
3,Cochabamba,1,Masculino,102,2
9,Pando,1,Masculino,97,1
2,La Paz,1,Masculino,49,253
7,Santa Cruz,2,Femenino,84,79
